"id","location_name","latitude","longitude","preferred_wind_dir_min","preferred_wind_dir_max","preferred_swell_dir_min","preferred_swell_dir_max","bad_swell_dir_min","bad_swell_dir_max","wavecalc","region","reef"
556,"Off The Wall",21.662891,-158.055381,85,165,290,355,70,230,1.66,"Oahu",TRUE
600,"Ha'Ena Bay",22.222917,-159.567154,135,240,290,50,90,230,1.81,"Kauai",FALSE
86,"Jamala",34.505478,-120.531576,20,100,200,280,320,90,1.42,"WestCoast",FALSE
94,"Campus Point",34.403574,-119.842255,295,50,200,270,330,90,2.12,"WestCoast",FALSE
114,"C-Street",34.271645,-119.304866,325,45,230,285,320,90,1.62,"WestCoast",FALSE
124,"Leo Carillo",34.042459,-118.932936,325,45,130,230,320,90,0.75,"WestCoast",FALSE
24,"Linda Mar",37.600853,-122.504507,100,240,280,350,90,230,1.79,"WestCoast",FALSE
100,"Leadbetter",34.39454,-119.70212,255,50,230,270,320,90,3.18,"WestCoast",FALSE
88,"The Ranch",34.439817,-120.297348,315,35,180,250,290,90,1.27,"WestCoast",FALSE
108,"Mondos",34.317135,-119.374548,345,30,180,250,300,90,1.3,"WestCoast",FALSE
110,"Solimar",34.306946,-119.359833,5,85,160,240,310,90,1.6,"WestCoast",FALSE
136,"Sunset",34.038276,-118.551078,315,35,200,260,310,90,0.97,"WestCoast",FALSE
206,"Swami's",33.034197,-117.295094,355,75,260,305,340,90,1.21,"WestCoast",FALSE
225,"Windansea",32.82884,-117.282006,35,115,,,355,90,1.22,"WestCoast",FALSE
82,"Pismo Pier",34.859507,-120.987864,25,105,170,250,300,90,1.25,"WestCoast",FALSE
104,"Ricon",34.371493,-119.477567,335,55,220,260,310,90,0.92,"WestCoast",FALSE
167,"HB Pier South",33.65341,-118.00438,5,85,158,199,350,90,0.89,"WestCoast",FALSE
524,"Kaisers",21.121783,-157.936065,345,45,160,260,310,110,2.58,"Oahu",TRUE
518,"Populars",21.108613,-157.873513,335,55,160,260,310,110,5.8,"Oahu",TRUE
520,"Threes",21.105327,-157.883068,355,75,160,260,310,110,5.6,"Oahu",TRUE
522,"Fours",21.123729,-157.928302,1,80,160,260,310,110,7.2,"Oahu",TRUE
560,"Chambers",21.667839,-158.050055,85,165,290,355,70,230,1.59,"Oahu",TRUE
564,"Sunset",21.679007,-158.04112,85,165,290,355,70,220,1.9,"Oahu",TRUE
566,"Velzyland",21.684658,-158.032643,65,135,290,355,60,220,2.85,"Oahu",TRUE
559,"Pipeline",21.664735,-158.053571,85,165,290,355,70,230,1.82,"Oahu",TRUE
